City	State	price	title	url	Postingdate	Numimage	Description	Year	Makemodels	Conditions	Cylinders	Drive	Fuel	Odometer	paintcolor	Size	Titlestatus	Transmission	Vin
Calhoun		5500	00 Toyota 4x4	https://northmiss.craigslist.org/cto/d/00-toyota-4x4/6487177654.html	"
                    2018-02-06  5:35pm
                "	4	"Nice Toyota with 4cy 5peed with 231,000 miles .very clean inside and ought runs and drives great with no problems. No trades    "	2000	 Toyota				 gas				 clean	 manual	
		1800	86 fuel injection 4x4 toyota  pick up	https://northmiss.craigslist.org/cto/d/86-fuel-injection-4x4-toyota/6487166588.html	"
                    2018-02-06  5:25pm
                "	7	"86 Toyota fuel injection extra cab has a new motor that is not in the truck motor alone is worth 1500 text or call for more information to much to list  show contact info
"	1986	 toyota pick up				 gas				 clean	 manual	
pontotoc		2600	1979 ford F-250 ext cab	https://northmiss.craigslist.org/cto/d/1979-ford-250-ext-cab/6487163589.html	"
                    2018-02-06  5:23pm
                "	2	great 460 big block engine. runs excellent. not much rust. could be completely restored or driven as is. call (six six two) 8one6-3241 and ask for Tim Britt.  NO EMAIL! CALL OR TEXT ONLY.    	1979	 ford f-250	 good	 8 cylinders	 rwd	 gas	0			 clean	 automatic	0
Corinth		19500	2009 Chevrolet Corvette	https://northmiss.craigslist.org/cto/d/2009-chevrolet-corvette/6487160979.html	"
                    2018-02-06  5:20pm
                "	5	Excellent condition.  Must sell moving.  Best offer.    	2009	 Chevrolet Corvette	 excellent	 8 cylinders	 rwd	 gas	96000	 black	 compact	 clean	 automatic	0
North Ms		1	Autos for sale	https://northmiss.craigslist.org/cto/d/autos-for-sale/6466230534.html	"
                    2018-01-20  5:08am
                "		"THIS IS FOR THE IDIOTS POSTING LOCATION AS UNITED STATES OR NORTH MS.
SUPPOSED TO BE IN NORTH MS. IF POSTING ON THIS SITE.

Location should be you're town or county at least. It's safe to assume we're in the
United States , if we're looking to buy anything off North Ms. CL. Also, this is
NORTH  MS. CL NOT TENNESSEE , ALABAMA, or ARKANSAS!!!!
You people have a place to post in your area. Read CL rules for posting!!!

Your adds will be flagged. They look like the foreign scammers. 
CL users unite,
Flag Scammers, Spammers and Idiots.    "	2018	 other	 fair	 other	 rwd	 other	96000	 black	 compact	 clean	 other	0
		1700	Classic luxury 2003 Lexus GS300	https://northmiss.craigslist.org/cto/d/classic-luxury-2003-lexus/6487149197.html	"
                    2018-02-06  5:10pm
                "		"Great daily luxury commuter vehicle!!!!!
Drive smooth
No engine knocks
Transmission smooth    "	2003	 Lexus	 excellent	 6 cylinders	 rwd	 gas	96000	 black	 compact	 clean	 automatic	0
		1069	Spotless and Comfy 4-door SV sedan with Four Wheel Drive - Nissan Mura	https://northmiss.craigslist.org/cto/d/spotless-and-comfy-4-door-sv/6487030472.html	"
                    2018-02-06  3:37pm
                "		brand new goodyear tires. cruise contro. all scheduled maintenance.. pristine conditionpnly68k miles. ice cold a/c. fully loaded!!!!Murano line.    	2005	 Nissan Murano	 excellent	 6 cylinders	 rwd	 gas	96000	 black	 compact	 clean	 automatic	0
Columbus		10000	Dodge 2500	https://northmiss.craigslist.org/cto/d/dodge-2500/6480149827.html	"
                    2018-01-31  6:37pm
                "		1997 dodge slt 155654 miles 4wd automatic trans original truck great truck may trade for Tacoma must be 4wd extended cab    	1997	 dodge 2500	 excellent	 6 cylinders	 rwd	 diesel	96000	 black	 compact	 clean	 automatic	0
		14500	2010 GMC 2500HD 4x4	https://northmiss.craigslist.org/cto/d/2010-gmc-2500hd-4x4/6462819011.html	"
                    2018-01-17  9:37am
                "	8	"2010 GMC 2500 HD 4x4. 6.0 gas motor, leather, woodgrain, power everything, Husky floor mats, Ranch Hand Bumpers on front and back. 240,000 miles on truck, 139,000 miles on new motor replaced by Jimmy Gray Chevrolet, 52,000 miles on transmission rebuilt by Spencer Lee's Transmission(80,000 mile warranty), I have all the paper work. Body has dents and scratches. New 35in federal mud tires, shocks, leveling kit and alignment.

$145,000 obo trades welcomed    "	2010	 gmc 2500	 excellent	 6 cylinders	 rwd	 gas	96000	 black	 compact	 clean	 automatic	0
Winona		7000	2008 Infiniti G35s	https://northmiss.craigslist.org/cto/d/2008-infiniti-g35s/6487136305.html	"
                    2018-02-06  5:00pm
                "		"2008 Infiniti G35s
167000 miles
Serviced regularly 
Runs great 
Call for more info  show contact info
"	2008	 infiniti g35	 good	 6 cylinders	 rwd	 gas	167000	 grey	 compact	 lien	 automatic	0
