City	State	price	title	url
Greenwood MS	NA	5800	2011 HONDA CIVIC 4 DOORS	https://northmiss.craigslist.org/cto/d/2011-honda-civic-4-doors/6453704791.html
NA	NA	600	Nissan maxima 2002 runs excellent!!!	https://northmiss.craigslist.org/cto/d/nissan-maxima-2002-runs/6483702032.html
Starkville	NA	2000	2006 Chevy Uplander LT Full-loaded 7 Seats	https://northmiss.craigslist.org/cto/d/2006-chevy-uplander-lt-full/6483698615.html
Columbus	 miss	8200	1999 Pontiac Trans Am.	https://northmiss.craigslist.org/cto/d/1999-pontiac-trans-am/6480366809.html
New Hope	 Miss	2800	2007 Crown Victoria P71	https://northmiss.craigslist.org/cto/d/2007-crown-victoria-p71/6475620226.html
Dyersburg	NA	4000	1999 Jeep Grand Cherokee limited	https://northmiss.craigslist.org/cto/d/1999-jeep-grand-cherokee/6483688193.html
NA	NA	25500	2013 ford	https://northmiss.craigslist.org/cto/d/2013-ford/6483671881.html
NA	NA	6750	2008 Nissan Frontier 4 door crew cab	https://northmiss.craigslist.org/cto/d/2008-nissan-frontier-4-door/6483667822.html
NA	NA	1009	The Jeep Grand cherokee ('1999) - 4 Door four-door SV sedan	https://northmiss.craigslist.org/cto/d/the-jeep-grand-cherokeedoor/6483573384.html
NA	NA	19030	PRICE CUT 1955 Chevrolet 3100 LS Big Window Pickup	https://northmiss.craigslist.org/cto/d/price-cut-1955-chevrolet-3100/6483636505.html
Oxford	 MS	12000	2012 Nissan Pathfinder S 4x4	https://northmiss.craigslist.org/cto/d/2012-nissan-pathfinder-4x4/6483641786.html
West Point	 Ms	2900	2003 Ford Ranger	https://northmiss.craigslist.org/cto/d/2003-ford-ranger/6457033854.html
Marietta	NA	4400	2013 Fiat 500	https://northmiss.craigslist.org/cto/d/2013-fiat-500/6483636617.html
Tupelo	NA	3500	2008 Infiniti G35	https://northmiss.craigslist.org/cto/d/2008-infiniti-g35/6483634330.html
NA	NA	7500	2003 Toyota Tacoma Ext Cab 4x4	https://northmiss.craigslist.org/cto/d/2003-toyota-tacoma-ext-cab-4x4/6483623791.html
Kosciusko	NA	8500	2002 Ford Mustang Gt	https://northmiss.craigslist.org/cto/d/2002-ford-mustang-gt/6483615995.html
New Albany	NA	12500	2008 f150 lariat	https://northmiss.craigslist.org/cto/d/2008-f150-lariat/6483613904.html
NA	NA	14950	2010 GMC YUKON SLT SUPER NICE	https://northmiss.craigslist.org/cto/d/2010-gmc-yukon-slt-super-nice/6483604447.html
FULTON	MS	3250	2006  NISSAN MAXIMA  SL  LEATHER/SUNROOF	https://northmiss.craigslist.org/ctd/d/2006-nissan-maxima-sl-leather/6483600543.html
NA	NA	4350	FOR SALE 2006 ACURA TL	https://northmiss.craigslist.org/cto/d/for-sale-2006-acura-tl/6483585205.html
Olive Branch	NA	1600	1979 Trans Am	https://northmiss.craigslist.org/cto/d/1979-trans-am/6483577066.html
Southaven	NA	4500	2007 Chevy Impala LT	https://northmiss.craigslist.org/cto/d/2007-chevy-impala-lt/6483574087.html
NA	NA	13000	2003 thunderbird	https://northmiss.craigslist.org/cto/d/2003-thunderbird/6477620514.html
NA	NA	1070	Grand cherokee Has Sunroof and six Cylinder Engine	https://northmiss.craigslist.org/cto/d/grand-cherokee-has-sunroof/6483445332.html
Southaven	NA	11500	2011 Chevy Camaro	https://northmiss.craigslist.org/cto/d/2011-chevy-camaro/6461725503.html
Columbus	 MS	20000	2008 Jeep Wrangler Unlimited	https://northmiss.craigslist.org/cto/d/2008-jeep-wrangler-unlimited/6461300687.html
Hamilton	 Alabama	500	1986 1/2  Nissan Pickup	https://northmiss.craigslist.org/cto/d/nissan-pickup/6483532005.html
Oxford	NA	700	01 ram	https://northmiss.craigslist.org/cto/d/01-ram/6483530708.html
Tupelo	NA	4450	2007 Chrysler PT Cruiser Touring Edition; Great Condition! Low Miles!	https://northmiss.craigslist.org/cto/d/2007-chrysler-pt-cruiser/6466933243.html
Iuka	NA	125	Fender amp& stratocaster	https://northmiss.craigslist.org/cto/d/fender-amp-stratocaster/6483525126.html
Waynesboro	NA	7900	2005 Chevrolet Silverado 4 Door 4 WD	https://northmiss.craigslist.org/cto/d/2005-chevrolet-silverado-4/6478134924.html
Batesville Ms	NA	25500	2014 Chevrolet Silverado 4x4	https://northmiss.craigslist.org/cto/d/2014-chevrolet-silverado-4x4/6483508292.html
NA	NA	8400	2009 Honda Accord	https://northmiss.craigslist.org/cto/d/2009-honda-accord/6483507632.html
